term,date,rank,estimated_search_volume
covid test,2024-04-27,11071,1576.0
covid test,2024-05-04,9838,1727.0
covid test,2024-05-11,9923,1715.0
covid test,2024-05-18,8815,1879.0
covid test,2024-05-25,6778,2294.0
covid test,2024-06-01,6327,2416.0
covid test,2024-06-08,5387,2724.0
covid test,2024-06-15,4375,3176.0
covid test,2024-06-22,3476,3756.0
covid test,2024-06-29,2648,4564.0
covid test,2024-07-06,2140,5304.0
covid test,2024-07-13,1307,7452.0
covid test,2024-07-27,724,11033.0
covid test,2024-08-03,861,9850.0
covid test,2024-08-10,792,10405.0
covid test,2024-08-17,813,10228.0
covid test,2024-08-24,877,9731.0
covid test,2024-08-31,887,9658.0
covid tests,2024-04-13,33327,652.0
covid tests,2024-04-20,39290,568.0
covid tests,2024-04-27,38233,582.0
covid tests,2024-05-04,37377,593.0
covid tests,2024-05-11,35865,613.0
covid tests,2024-05-18,28605,739.0
covid tests,2024-05-25,26815,779.0
covid tests,2024-06-01,20588,965.0
covid tests,2024-06-08,15556,1207.0
covid tests,2024-06-15,13528,1348.0
covid tests,2024-06-22,10445,1649.0
covid tests,2024-06-29,8627,1910.0
covid tests,2024-07-06,6772,2295.0
covid tests,2024-07-13,4840,2949.0
covid tests,2024-07-27,2590,4637.0
covid tests,2024-08-03,2135,5313.0
covid tests,2024-08-10,2522,4725.0
covid tests,2024-08-17,3026,4150.0
covid tests,2024-08-24,3189,3996.0
covid tests,2024-08-31,3255,3938.0
covid tests 5 pack,2024-04-13,16681,1142.0
covid tests 5 pack,2024-04-20,17936,1078.0
covid tests 5 pack,2024-04-27,17993,1075.0
covid tests 5 pack,2024-05-04,22530,898.0
covid tests 5 pack,2024-05-11,16452,1155.0
covid tests 5 pack,2024-05-18,14155,1301.0
covid tests 5 pack,2024-05-25,15635,1202.0
covid tests 5 pack,2024-06-01,12563,1428.0
covid tests 5 pack,2024-06-08,9582,1762.0
covid tests 5 pack,2024-06-15,7488,2127.0
covid tests 5 pack,2024-06-22,5603,2645.0
covid tests 5 pack,2024-06-29,4211,3267.0
covid tests 5 pack,2024-07-06,3391,3823.0
covid tests 5 pack,2024-07-13,2587,4640.0
covid tests 5 pack,2024-07-27,1248,7688.0
covid tests 5 pack,2024-08-03,1280,7558.0
covid tests 5 pack,2024-08-10,1358,7261.0
covid tests 5 pack,2024-08-17,1370,7217.0
covid tests 5 pack,2024-08-24,1403,7101.0
covid tests 5 pack,2024-08-31,1622,6430.0
covid tests for home rapid fda approved,2024-04-13,55886,423.0
covid tests for home rapid fda approved,2024-04-20,63894,377.0
covid tests for home rapid fda approved,2024-04-27,60050,397.0
covid tests for home rapid fda approved,2024-05-04,70203,348.0
covid tests for home rapid fda approved,2024-05-11,58407,407.0
covid tests for home rapid fda approved,2024-05-18,47624,484.0
covid tests for home rapid fda approved,2024-05-25,52057,449.0
covid tests for home rapid fda approved,2024-06-01,37890,586.0
covid tests for home rapid fda approved,2024-06-08,35832,614.0
covid tests for home rapid fda approved,2024-06-15,27807,756.0
covid tests for home rapid fda approved,2024-06-22,22249,907.0
covid tests for home rapid fda approved,2024-06-29,18007,1075.0
covid tests for home rapid fda approved,2024-07-06,15280,1224.0
covid tests for home rapid fda approved,2024-07-13,11629,1517.0
covid tests for home rapid fda approved,2024-07-27,6749,2301.0
covid tests for home rapid fda approved,2024-08-03,8672,1902.0
covid tests for home rapid fda approved,2024-08-10,7307,2167.0
covid tests for home rapid fda approved,2024-08-17,7110,2212.0
covid tests for home rapid fda approved,2024-08-24,7293,2170.0
covid tests for home rapid fda approved,2024-08-31,8444,1942.0
crayola crayons 24 count,2024-04-13,210104,132.0
crayola crayons 24 count,2024-04-20,216554,128.0
crayola crayons 24 count,2024-04-27,182786,150.0
crayola crayons 24 count,2024-05-04,169006,161.0
crayola crayons 24 count,2024-05-11,165786,163.0
crayola crayons 24 count,2024-05-18,114257,228.0
crayola crayons 24 count,2024-05-25,90064,280.0
crayola crayons 24 count,2024-06-01,77493,319.0
crayola crayons 24 count,2024-06-08,49214,471.0
crayola crayons 24 count,2024-06-15,35569,618.0
crayola crayons 24 count,2024-06-22,16196,1169.0
crayola crayons 24 count,2024-06-29,10002,1705.0
crayola crayons 24 count,2024-07-06,6525,2360.0
crayola crayons 24 count,2024-07-13,2505,4748.0
crayola crayons 24 count,2024-07-27,824,10138.0
crayola crayons 24 count,2024-08-03,494,14103.0
crayola crayons 24 count,2024-08-10,376,16735.0
crayola crayons 24 count,2024-08-17,653,11797.0
crayola crayons 24 count,2024-08-24,1112,8309.0
crayola crayons 24 count,2024-08-31,1905,5753.0
crayola washable markers,2024-04-13,77660,319.0
crayola washable markers,2024-04-20,88176,285.0
crayola washable markers,2024-04-27,78946,314.0
crayola washable markers,2024-05-04,75709,326.0
crayola washable markers,2024-05-11,77451,319.0
crayola washable markers,2024-05-18,72328,339.0
crayola washable markers,2024-05-25,68238,356.0
crayola washable markers,2024-06-01,65974,367.0
crayola washable markers,2024-06-08,56071,421.0
crayola washable markers,2024-06-15,54302,433.0
crayola washable markers,2024-06-22,45515,503.0
crayola washable markers,2024-06-29,38983,572.0
crayola washable markers,2024-07-06,27364,766.0
